[2025-08-11T13:07:59.169493300] Count: 3 | Avg: 199.33ms | StdDev: 70.47 | Median: 172ms | P90: 296ms | P95: 296ms | P99: 296ms | Min: 130ms | Max: 296ms
[2025-08-11T13:07:59.443101100] Count: 4 | Avg: 178.75ms | StdDev: 70.68 | Median: 172ms | P90: 296ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:07:59.691169200] Count: 5 | Avg: 168.60ms | StdDev: 66.40 | Median: 130ms | P90: 296ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:07:59.896894200] Count: 6 | Avg: 163.67ms | StdDev: 61.61 | Median: 139ms | P90: 296ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:00.187785700] Count: 7 | Avg: 167.57ms | StdDev: 57.83 | Median: 139ms | P90: 296ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:00.391311700] Count: 8 | Avg: 167.25ms | StdDev: 54.11 | Median: 165ms | P90: 296ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:00.636899200] Count: 9 | Avg: 164.56ms | StdDev: 51.58 | Median: 143ms | P90: 296ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:00.809441700] Count: 10 | Avg: 162.20ms | StdDev: 49.44 | Median: 143ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:00.973489300] Count: 11 | Avg: 161.09ms | StdDev: 47.27 | Median: 143ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:00.977496] Count: 12 | Avg: 158.58ms | StdDev: 46.01 | Median: 143ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:01.262105200] Count: 13 | Avg: 156.54ms | StdDev: 44.77 | Median: 141ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:01.438180600] Count: 14 | Avg: 155.21ms | StdDev: 43.41 | Median: 141ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:01.539710200] Count: 15 | Avg: 154.27ms | StdDev: 42.08 | Median: 141ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 117ms | Max: 296ms
[2025-08-11T13:08:01.659083500] Count: 16 | Avg: 151.81ms | StdDev: 41.84 | Median: 141ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 115ms | Max: 296ms
[2025-08-11T13:08:01.921685900] Count: 17 | Avg: 149.41ms | StdDev: 41.71 | Median: 139ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 111ms | Max: 296ms
[2025-08-11T13:08:01.987683300] Count: 18 | Avg: 147.83ms | StdDev: 41.06 | Median: 139ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 111ms | Max: 296ms
[2025-08-11T13:08:02.022978400] Count: 19 | Avg: 146.32ms | StdDev: 40.48 | Median: 138ms | P90: 191ms | P95: 296ms | P99: 296ms | Min: 111ms | Max: 296ms
[2025-08-11T13:08:02.242038300] Count: 20 | Avg: 144.20ms | StdDev: 40.52 | Median: 138ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 104ms | Max: 296ms
[2025-08-11T13:08:02.492010500] Count: 21 | Avg: 143.05ms | StdDev: 39.87 | Median: 132ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 104ms | Max: 296ms
[2025-08-11T13:08:02.626141200] Count: 22 | Avg: 140.59ms | StdDev: 40.55 | Median: 132ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:02.901812700] Count: 23 | Avg: 138.70ms | StdDev: 40.64 | Median: 131ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:03.069862900] Count: 24 | Avg: 136.71ms | StdDev: 40.91 | Median: 131ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:03.246918900] Count: 25 | Avg: 134.88ms | StdDev: 41.08 | Median: 130ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:03.521981300] Count: 26 | Avg: 134.00ms | StdDev: 40.52 | Median: 130ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:03.558990900] Count: 27 | Avg: 133.26ms | StdDev: 39.94 | Median: 128ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:03.813881200] Count: 28 | Avg: 131.96ms | StdDev: 39.79 | Median: 128ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:03.930926900] Count: 29 | Avg: 130.62ms | StdDev: 39.74 | Median: 121ms | P90: 172ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:04.111457200] Count: 30 | Avg: 129.43ms | StdDev: 39.59 | Median: 121ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 89ms | Max: 296ms
[2025-08-11T13:08:04.330902700] Count: 31 | Avg: 127.97ms | StdDev: 39.77 | Median: 120ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 84ms | Max: 296ms
[2025-08-11T13:08:04.375901400] Count: 32 | Avg: 127.13ms | StdDev: 39.42 | Median: 120ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 84ms | Max: 296ms
[2025-08-11T13:08:04.533482400] Count: 33 | Avg: 125.61ms | StdDev: 39.76 | Median: 119ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 77ms | Max: 296ms
[2025-08-11T13:08:04.790929500] Count: 34 | Avg: 124.29ms | StdDev: 39.89 | Median: 119ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 77ms | Max: 296ms
[2025-08-11T13:08:05.123575] Count: 35 | Avg: 122.91ms | StdDev: 40.13 | Median: 117ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:05.334026300] Count: 36 | Avg: 121.61ms | StdDev: 40.31 | Median: 117ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 76ms | Max: 296ms
